date,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,open,close
2019-5-9,902.642,932.75,933.293,89061.65,67503.86,56293.54,875,858.81
2019-5-8,925.274,941.789,935.362,81267.08,62412.14,55028.88,860,884.4
2019-5-7,937.394,948.605,934.392,73546.02,57461.82,53723.35,893.28,890
2019-5-6,949.868,954.155,932.117,61338.84,49337.95,50834.33,925.5,906
2019-4-30,962.668,958.755,929.317,43364.3,39904.08,46740.7,968,974
2019-4-29,962.858,955.345,923.567,45946.07,40952.11,47990.27,945,971.97
2019-4-26,958.304,948.848,917.668,43557.21,40247.14,49908.35,946.3,945
2019-4-25,959.816,945.748,910.758,41377.63,40780.59,50622.81,968.79,952.37
2019-4-24,958.442,943.031,902.565,37337.06,42910.71,50773.11,979.88,970
2019-4-23,954.842,940.83,892.715,36443.87,45169.45,50391.54,951,974.95
2019-4-22,947.832,933.835,882.747,35958.14,45083.23,49812.46,959.5,949.2
2019-4-19,939.392,928.935,874.987,36937.08,47645.62,49306.94,943.96,952.56
2019-4-18,931.68,920.179,866.647,40183.56,49984.88,49316.62,945.41,945.5
2019-4-17,927.62,910.079,859.012,48484.36,52330.71,49892.57,938,952
2019-4-16,926.818,899.879,851.042,53895.03,53577.31,49886.26,904.9,939.9
2019-4-15,919.838,891.789,844.552,54208.31,55028.43,51631.03,931,907
2019-4-12,918.478,886.488,838.067,58354.16,59569.56,51974.93,909,914
2019-4-11,908.678,875.768,831.267,59786.2,60465.02,52652.95,948,925.2
2019-4-10,892.538,862.098,822.707,56177.05,58635.5,51625.89,903,947.99
2019-4-9,872.94,844.599,812.558,53259.59,55613.64,50860.67,903,905
2019-4-8,863.74,831.659,805.235,55848.55,54541.7,51114.05,900,900.2
2019-4-4,854.498,821.039,797.1,60784.96,50968.26,50415.21,840,865
2019-4-3,842.858,813.114,791.28,61143.84,48648.35,50635.62,840.12,844.5
2019-4-2,831.658,807.944,787.455,61093.95,47454.42,50819.35,859.99,850
2019-4-1,816.258,802.205,783.944,57967.68,46195.21,50399.52,860,859
2019-3-29,799.578,797.314,780.087,53234.85,48233.63,51582.09,835,853.99
2019-3-28,787.58,789.645,776.852,41151.56,44380.3,50227.41,793.43,806.8
2019-3-27,783.37,786.765,774.263,36152.86,44840.88,50198.38,781,788.5
2019-3-26,784.23,783.315,771.873,33814.89,44616.28,51355.12,780,773
2019-3-25,788.152,780.516,769.59,34422.74,46107.71,52373.57,786,775.6
2019-3-22,795.05,778.81,767.927,43232.41,47686.39,54641.18,788.22,794
2019-3-21,791.71,773.16,764.527,47609.05,49862.17,54410.74,788,785.75
2019-3-20,790.16,769.445,761.252,53528.9,52622.89,54274.6,790,792.8
2019-3-19,782.4,766.965,757.712,55417.67,54184.28,54612.84,803,792.61
2019-3-18,772.88,765.682,754.62,57792.69,54603.84,54056.17,778.8,810.09
2019-3-15,762.57,762.859,751.115,52140.38,54930.56,51877.52,776,777.3
2019-3-14,754.61,764.059,748.489,52115.28,56074.51,50419.39,757,778
2019-3-13,748.73,761.76,746.447,51716.88,55555.88,48923.67,745.5,754
2019-3-12,751.53,760.43,745.51,52950.88,58093.97,48679.45,763.82,745.01
2019-3-11,758.484,758.664,744.155,51414.99,58639.43,47808.52,740.04,758.54
2019-3-8,763.148,757.043,742.493,57720.73,61595.97,48062.7,737.9,737.5
2019-3-7,773.508,755.894,740.252,60033.73,58959.32,46974.97,762.22,748.6
2019-3-6,774.79,753.059,737.302,59394.87,55926.31,45800.77,775,768
2019-3-5,769.33,748.459,732.702,63237.05,55041.41,44599.2,785,779.78
2019-3-4,758.844,743.557,727.963,65863.87,53508.5,43874.8,795,781.86
2019-3-1,750.938,739.371,722.72,65471.2,48824.49,41450.64,761.5,789.3
2019-2-28,738.28,732.919,717.24,57884.91,44764.27,39707.95,737.9,755.01
2019-2-27,731.328,731.134,713.114,52457.74,42291.46,38316.4,733,740.7
2019-2-26,727.588,730.589,709.362,46845.76,39264.94,36700.53,747.8,727.35
2019-2-25,728.27,729.646,706.545,41153.13,36977.61,35908.41,730.75,742.33
2019-2-22,727.804,727.943,703.777,32177.79,34529.43,34129.87,717,726.01
2019-2-21,727.558,724.609,701.657,31643.63,34990.61,36264.89,720,720.25
2019-2-20,730.94,721.544,698.607,32125.17,35675.23,36286.61,735,722
